Координаты: (1641.0, 1577.0); Яркость: 1002; Размер: 4; Тип: планета
Координаты: (893.0, 1453.5); Яркость: 1480; Размер: 6; Тип: планета
Координаты: (400.0, 1439.0); Яркость: 1016; Размер: 4; Тип: планета
Координаты: (510.5, 1235.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2121.5, 1179.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1964.5, 1144.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1539.5, 1126.5); Яркость: 2287; Размер: 9; Тип: планета
Координаты: (594.0, 1123.5); Яркость: 2937; Размер: 12; Тип: планета
Координаты: (1537.0, 1120.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (103.0, 1086.0); Яркость: 1004; Размер: 4; Тип: планета
Координаты: (333.5, 1040.0); Яркость: 2999; Размер: 12; Тип: планета
Координаты: (292.0, 1039.0); Яркость: 8234; Размер: 36; Тип: звезда
Координаты: (860.5, 1027.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (397.0, 1002.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (604.5, 966.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2044.5, 965.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1883.5, 945.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2075.5, 920.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (870.5, 920.0); Яркость: 12361; Размер: 56; Тип: звезда
Координаты: (851.5, 917.0); Яркость: 1454; Размер: 6; Тип: планета
Координаты: (945.5, 908.5); Яркость: 236; Размер: 1; Тип: планета
Координаты: (2120.0, 904.5); Яркость: 1529; Размер: 6; Тип: планета
Координаты: (1551.5, 899.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1628.0, 883.5); Яркость: 13083; Размер: 56; Тип: звезда
Координаты: (770.0, 880.5); Яркость: 1508; Размер: 6; Тип: планета
Координаты: (1636.0, 873.5); Яркость: 1490; Размер: 6; Тип: планета
Координаты: (290.5, 869.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1554.5, 846.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (588.5, 835.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (625.0, 820.5); Яркость: 1525; Размер: 6; Тип: планета
Координаты: (32.0, 817.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1025.0, 805.5); Яркость: 505; Размер: 2; Тип: планета
Координаты: (1092.0, 793.0); Яркость: 968; Размер: 4; Тип: планета
Координаты: (274.5, 771.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (851.5, 767.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (134.0, 760.0); Яркость: 1016; Размер: 4; Тип: планета
Координаты: (172.5, 758.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1302.5, 754.0); Яркость: 477; Размер: 2; Тип: планета
Координаты: (1100.0, 753.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (353.5, 745.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (273.0, 739.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (894.0, 726.5); Яркость: 1459; Размер: 6; Тип: планета
Координаты: (1241.5, 719.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1575.0, 724.5); Яркость: 29450; Размер: 130; Тип: звезда
Координаты: (589.5, 706.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (16.0, 706.0); Яркость: 1018; Размер: 4; Тип: планета
Координаты: (2277.5, 704.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (930.0, 703.5); Яркость: 502; Размер: 2; Тип: планета
Координаты: (1613.0, 697.5); Яркость: 501; Размер: 2; Тип: планета
